model,runtime
abe_bi_M1,206.85397124290463
abe_bi_M2,208.458181142807
full_tri_M1,309.6870608329773
full_tri_M2,307.8912568092346
full_bi_M1,408.65037083625793
full_bi_M2,421.4009928703308
